# Auto-generated parameter sets
# P range: 16 to 128 (step: 16)
# L: Start at 1, double until 3*P
# M=N: Start at P, double until 8*P
# Max product (P*L*M*N): 1048576
# Format: P L M N
#
16 1 16 16
16 1 32 32
16 1 64 64
16 1 128 128
16 2 16 16
16 2 32 32
16 2 64 64
16 2 128 128
16 4 16 16
16 4 32 32
16 4 64 64
16 4 128 128
16 8 16 16
16 8 32 32
16 8 64 64
16 16 16 16
16 16 32 32
16 16 64 64
16 32 16 16
16 32 32 32
32 1 32 32
32 1 64 64
32 1 128 128
32 2 32 32
32 2 64 64
32 2 128 128
32 4 32 32
32 4 64 64
32 8 32 32
32 8 64 64
32 16 32 32
32 32 32 32
48 1 48 48
48 1 96 96
48 2 48 48
48 2 96 96
48 4 48 48
48 8 48 48
64 1 64 64
64 1 128 128
64 2 64 64
64 4 64 64
80 1 80 80
80 2 80 80
96 1 96 96
